Ticker,Sector,MarketCap,ROE,DER,NPM
ATAP,Properties & Real Estate,"22,1E+10","-3,5E+0","31,0E-2","-14,8E+0"
ATIC,Technology,"1,6E+12","31,6E+0","5,7E+0","3,6E+0"
ATLA,Energy,"37,8E+10","1,6E+0","4,0E-2","4,1E+0"
AUTO,Consumer Cyclicals,"12,2E+12","12,6E+0","39,0E-2","14,0E+0"
AVIA,Basic Materials,"28,5E+12","17,3E+0","14,0E-2","28,6E+0"
AWAN,Technology,"74,9E+10","3,6E+0","27,0E-2","5,7E+0"
AXIO,Technology,"77,1E+10","10,7E+0","1,4E+0","5,2E+0"
AYAM,Consumer Non-Cyclicals,"1,3E+12","-8,4E+0","1,5E+0","-7,1E+0"
AYLS,Basic Materials,"21,3E+10","-6,0E+0","0,0E+0","-3,2E+2"
BABP,Financials,"2,5E+12","2,3E+0","4,5E+0","6,9E+0"
BABY,Consumer Cyclicals,"76,9E+10","-10,2E+0","60,0E-2","-5,2E+0"
BACA,Financials,"3,1E+12","1,4E+0","2,7E+0","7,6E+0"
BAIK,Consumer Cyclicals,"11,5E+10","2,4E+0","8,0E-2","2,0E+0"
BAJA,Basic Materials,"31,7E+10","-1,8E+2","20,0E+0","-10,1E+0"
BALI,Infrastructures,"5,2E+12","7,1E+0","1,5E+0","19,3E+0"
BANK,Basic Materials,"13,7E+12","4,1E+0","19,0E-2","21,6E+0"
BAPA,Properties & Real Estate,"6,0E+10","-4,1E+0","15,0E-2","-5,5E+2"
BAPI,Properties & Real Estate,"13,4E+10","-1,5E+0","64,0E-2","-5,1E+2"
BATA,Consumer Cyclicals,"7,8E+10",,"-5,3E+0","-29,7E+0"
BATR,Basic Materials,"33,0E+10","8,4E+0","41,0E-2","12,2E+0"
BAUT,Consumer Cyclicals,"18,7E+10","-11,1E+0","33,0E-2","-19,5E+0"
BAYU,Consumer Cyclicals,"47,0E+10","19,4E+0","69,0E-2","5,3E+0"
BBCA,Financials,"10,1E+14","20,7E+0","4,5E+0","74,1E+0"
BBHI,Financials,"32,3E+12","7,4E+0","1,3E+0","40,5E+0"
